Granularité,janv-11,févr-11,mars-11,avr-11,mai-11,juin-11,juil-11,août-11,sept-11,oct-11,nov-11,déc-11,Total-2011
75001,75.3,60.4,71.2,59.5,73.9,72,57.9,56.4,75.5,75.7,65.8,79.1,822.7
75002,153,125.8,136.6,126.6,133.2,127.6,126.7,114.3,144.3,145.1,129.5,129.8,1592.5
75003,183.9,173.1,204.2,183,203.2,181.9,191.2,153.6,208.6,186.5,192.9,189.9,2252
75004,116.3,115.7,133.4,115,123.2,120.5,114.5,97.6,130.5,123,124.3,133.7,1447.7
75005,247,211,251,218,185,224,213.3,162.9,203.4,232.1,227.6,251.6,2626.9
75006,222,189,218,192,180,199,171.8,134.8,183.1,195.5,213.8,204.1,2303.1
75007,288.1,249.1,303.7,255.8,287.8,288.4,249.6,185.6,281.3,284.3,296.4,301.1,3271.2
75008,252.6,246.7,252.9,232.5,199.4,236.4,175.4,189.4,266.6,230.3,257.7,224.4,2764.3
75009,208.3,197.1,220.4,197.9,151.7,206.9,199.9,163.3,223.8,203.6,213.8,235.7,2422.4
75010,273,248.6,292.2,255.2,284.3,267.3,246.6,210.3,280.6,275.6,284.6,283.2,3201.5
75011,487.2,422.2,491,437,466,443,373.5,367.5,511.9,490.6,469.2,487.9,5447
75012,484.2,445.9,517,452,402,488,456,409,506,495,493,502,5650.1
75013,596.5,540.2,618.5,558.6,595.9,581.7,539.2,490.5,597.8,575.7,580.5,601.4,6876.5
75014,464,404.9,465.3,420.2,405.3,446,412.9,348.7,449.3,446.3,453.1,484.3,5200.3
75015,903.1,801.4,937.5,835.5,876.8,888.6,628.8,674.8,913.3,878.7,895.7,935.8,10170
75016,584.1,571.2,684.7,590.3,563.4,666.3,570.4,433.2,679.7,656.1,662.6,699.9,7361.9
75017,451.1,412.4,491.6,422.7,363.6,446.4,409.5,332.3,416.4,451.5,475.1,513.5,5186.1
75018,427,394.3,455.2,419.9,458.3,456.6,418,361.8,464.6,453.4,478.5,470.9,5258.5
75019,323.4,287.3,350.3,317.8,336.9,340.7,311.6,281,345.6,335.6,367,354.5,3951.7
75020,394.1,366.3,422.7,367.1,273.5,381.7,353.4,297,414,350,410.6,410,4440.4
Tous,7134.2,6462.6,7517.4,6656.6,6563.4,7063,6220.2,5464,7296.3,7084.6,7291.7,7492.8,82246.8
