Task,Execution Time,Memory Usage,Book,nbCharacter
EgrepLike,2448,942,10234.txt,418642
KMP,1363,835,10234.txt,418642
Egrep,622,161,10234.txt,418642
EgrepLike,1506,627,10251.txt,268952
KMP,736,605,10251.txt,268952
Egrep,755,153,10251.txt,268952
EgrepLike,4408,1544,10266.txt,747102
KMP,1963,1423,10266.txt,747102
Egrep,670,160,10266.txt,747102
EgrepLike,1585,729,10267.txt,271353
KMP,732,592,10267.txt,271353
Egrep,608,149,10267.txt,271353
EgrepLike,1663,712,10268.txt,298151
KMP,780,685,10268.txt,298151
Egrep,644,138,10268.txt,298151
EgrepLike,1488,560,10274.txt,251816
KMP,648,552,10274.txt,251816
Egrep,572,140,10274.txt,251816
EgrepLike,1385,548,10291.txt,233395
KMP,580,527,10291.txt,233395
Egrep,649,134,10291.txt,233395
EgrepLike,878,395,10292.txt,133265
KMP,341,263,10292.txt,133265
Egrep,592,134,10292.txt,133265
EgrepLike,599,395,10294.txt,98195
KMP,295,263,10294.txt,98195
Egrep,611,134,10294.txt,98195
EgrepLike,181,263,10310.txt,21842
KMP,61,131,10310.txt,21842
Egrep,566,134,10310.txt,21842
EgrepLike,1258,681,10314.txt,213765
KMP,585,537,10314.txt,213765
Egrep,599,135,10314.txt,213765
EgrepLike,5753,1834,10315.txt,879891
KMP,2603,1589,10315.txt,879891
Egrep,588,147,10315.txt,879891
EgrepLike,1539,749,10316.txt,265559
KMP,698,598,10316.txt,265559
Egrep,569,152,10316.txt,265559
EgrepLike,1536,615,10317.txt,267473
KMP,709,615,10317.txt,267473
Egrep,614,156,10317.txt,267473
EgrepLike,1092,559,10318.txt,187439
KMP,472,419,10318.txt,187439
Egrep,588,142,10318.txt,187439
EgrepLike,1772,689,10319.txt,298590
KMP,793,676,10319.txt,298590
Egrep,595,137,10319.txt,298590
EgrepLike,861,406,10320.txt,153439
KMP,404,405,10320.txt,153439
Egrep,626,136,10320.txt,153439
EgrepLike,1938,831,10321.txt,346201
KMP,913,695,10321.txt,346201
Egrep,638,141,10321.txt,346201
EgrepLike,3841,1350,10322.txt,623385
KMP,1768,1263,10322.txt,623385
Egrep,788,147,10322.txt,623385
EgrepLike,2076,878,10323.txt,326326
KMP,1011,721,10323.txt,326326
Egrep,618,146,10323.txt,326326
EgrepLike,1836,703,10324.txt,309189
KMP,848,680,10324.txt,309189
Egrep,571,138,10324.txt,309189
EgrepLike,1879,817,10325.txt,326266
KMP,898,666,10325.txt,326266
Egrep,568,135,10325.txt,326266
EgrepLike,614,399,10326.txt,105309
KMP,270,266,10326.txt,105309
Egrep,550,135,10326.txt,105309
EgrepLike,3937,1249,10327.txt,573106
KMP,1625,1146,10327.txt,573106
Egrep,578,145,10327.txt,573106
EgrepLike,1034,552,10328.txt,178340
KMP,516,393,10328.txt,178340
Egrep,625,133,10328.txt,178340
EgrepLike,650,393,10329.txt,102964
KMP,308,262,10329.txt,102964
Egrep,686,132,10329.txt,102964
EgrepLike,618,393,10331.txt,98288
KMP,264,262,10331.txt,98288
Egrep,657,133,10331.txt,98288
EgrepLike,581,393,10332.txt,97533
KMP,257,262,10332.txt,97533
Egrep,648,133,10332.txt,97533
EgrepLike,1155,508,10333.txt,195712
KMP,493,381,10333.txt,195712
Egrep,544,129,10333.txt,195712
EgrepLike,1606,676,10335.txt,263302
KMP,676,546,10335.txt,263302
Egrep,564,139,10335.txt,263302
EgrepLike,4351,1723,10336.txt,724679
KMP,2359,1579,10336.txt,724679
Egrep,599,134,10336.txt,724679
EgrepLike,961,394,10337.txt,151696
KMP,381,394,10337.txt,151696
Egrep,569,134,10337.txt,151696
EgrepLike,733,394,10338.txt,128154
KMP,334,263,10338.txt,128154
Egrep,571,134,10338.txt,128154
EgrepLike,2272,856,10340.txt,396855
KMP,1244,792,10340.txt,396855
Egrep,579,152,10340.txt,396855
EgrepLike,5830,1746,10341.txt,929311
KMP,2793,1699,10341.txt,929311
Egrep,606,153,10341.txt,929311
EgrepLike,2689,932,10342.txt,435729
KMP,1254,950,10342.txt,435729
Egrep,565,161,10342.txt,435729
EgrepLike,7030,2313,10343.txt,1164144
KMP,3242,2048,10343.txt,1164144
Egrep,639,165,10343.txt,1164144
EgrepLike,188,325,10348.txt,24238
KMP,68,162,10348.txt,24238
Egrep,601,164,10348.txt,24238
